time,open,high,low,close,Volume
1425994200,172.4797285854106,172.4797285854106,169.27422513,170.040349385,157121263
1426080600,171.2600389852053,171.2600389852053,168.83643984,169.268030055,110145718
1426167000,170.26403452010265,171.12861753,169.49724782,170.3098351375,93993523
1426253400,170.28693482880132,171.75539391,168.98512164,170.38748008,162410893
1426512600,170.33720745440064,172.38002265,170.04580105,171.364877035,136099192
1426599000,170.85104224470032,172.15699996,170.85104224470032,171.6138983975,94510422
1426685400,171.23247032110015,174.5111284,170.67018199,172.5823950975,228808524
1426771800,171.90743270930008,173.85007261,171.90743270930008,173.24727118250001,117917302
1426858200,172.57735194590003,175.08251929,172.57735194590003,174.3669684325,177715081
1427117400,173.4721601892,175.15719196,173.4721601892,174.5535878775,71784536
1427203800,174.01287403335,174.56810757,173.19081166,173.781970295,77805321
1427290200,173.897422164175,173.897422164175,170.67683178,172.1391715625,159521708
1427376600,173.0182968633375,173.0182968633375,169.35761462,170.23709273000003,153067241
1427463000,171.62769479666878,171.62769479666878,170.00477776,170.44451681,118938966
1427722200,171.0361058033344,173.08295114,171.0361058033344,172.3279274775,96180365
1427808600,171.6820166404172,172.65980601,171.2161344,171.77825366000002,126768703
1427895000,171.7301351502086,171.7301351502086,169.68119619,170.71416812,137303584
1427981400,171.2221516351043,171.73054612,170.41962592,171.00767319249996,86900906
1428327000,171.11491241380213,172.95019972,170.26198362,171.5106765925,114368155
1428413400,171.31279450315105,173.20740559,171.31279450315105,172.39741454749998,81236337
1428499800,171.85510452532552,172.9999815,171.81351575,172.3932660625,89351939
1428586200,172.12418529391277,173.55587804,171.90478235,172.79463166,85548854
1428672600,172.45940847695638,174.3109017,172.45940847695638,173.88153385249998,72722915
1428931800,173.17047116472818,174.75893772,173.17047116472818,173.9499837975,74436594
1429018200,173.5602274811141,173.9956171,172.65980601,173.43764632,75099866
1429104600,173.49893690055706,175.09911322,173.49893690055706,174.54114243749999,99529320
1429191000,174.0200396690285,175.04933144,174.0200396690285,174.4794959975,68934864
1429277400,174.24976783326426,174.24976783326426,171.75543701,172.81122559,191113230
1429536600,173.5304967116321,174.44365312,173.37334485,173.84627175749998,92189481
1429623000,173.68838423456606,174.94976788,173.60565982,174.3129759425,72559831
1429709400,174.00068008853304,174.94147091,173.32356307,174.31712442499997,78264616
1429795800,174.1589022567665,175.84583991,174.1589022567665,174.91243154,102585942
1429882200,174.53566689838325,175.8707308,174.53566689838325,175.5616481775,61327387
1430141400,175.0486575379416,176.29387593,174.68426505,175.50566441750001,79358126
1430227800,175.27716097772083,175.48077353,173.68041546,174.86059626499997,86863531
1430314200,175.0688786213604,175.3065373,173.9043505,174.615815105,125684903
1430400600,174.84234686318018,174.84234686318018,172.26155177,173.47083417,161304890
1430487000,174.1565905165901,174.87509521,173.63884768,174.27149113000002,103399711
1430746200,174.21404082329505,175.91221562,174.21404082329505,175.41232358250002,70927235
1430832600,174.81318220289754,175.44758567,173.1825147,174.2611199225,113326156
1430919000,174.53715106269877,174.53715106269877,171.54801293,173.051837525,135060151
1431005400,173.79449429384937,173.79449429384937,172.17858214,172.92738307500002,88244940
1431091800,173.3609386844247,175.77946421,173.3609386844247,175.3023888175,155877260
1431351000,174.33166375096235,175.80435509,174.33166375096235,175.1872684475,75708065
1431437400,174.7594660992312,174.7594660992312,173.0912481,173.9956171,119727592
1431523800,174.3775415996156,175.24845855,174.02050799,174.53699395249998,94667943
1431610200,174.4572677760578,176.16112452,174.4572677760578,175.62182190250002,95934006
1431696600,175.0395448392789,176.40173645,175.0395448392789,176.175644205,76510099
1431955800,175.60759452213944,177.05719655,175.60759452213944,176.49715152750002,74549685
1432042200,176.05237302481973,177.19824493,176.05237302481973,176.835252785,72114610
1432128600,176.44381290490986,177.37248116,176.31378864,176.79044918250003,76857530
1432215000,176.61713104370494,177.34759027,176.31876682,176.82280733750002,64764585
1432301400,176.71996919060248,177.17335404,176.65064535,176.82488157999998,57433495
1432647000,176.77242538530123,176.77242538530123,174.4021683,175.52410441499998,124308584
1432733400,176.1482649001506,176.70872409,174.86779388,175.8315691325,93213981
1432819800,175.9899170163253,176.38514253,175.58863405,176.105120015,74974560
1432906200,176.04751851566266,176.25239111,174.91658002,175.64049007,124919611
1433165400,175.84400429283133,176.17771844,174.75064076,175.578262845,93338750
1433251800,175.71113356891567,176.05326399,174.46024704,175.24016158999999,91531012
1433338200,175.4756475794578,176.45151823,175.33980812,175.87904850500001,87820909
1433424600,175.6773480422289,175.77863451,174.02880495,174.81871734249998,151882820
1433511000,175.24803269236446,175.24803269236446,173.38993878,174.08688369499998,121704676
1433770200,174.66745819368222,174.66745819368222,172.90041794,173.47498265000002,89063330
1433856600,174.07122042184113,174.07122042184113,172.31963051,172.9273830725,105034690
1433943000,173.49930174717056,175.40610086,173.49930174717056,174.44960619,134551285
1434029400,173.9744539685853,175.97029436,173.9744539685853,175.56374316,73876447
1434115800,174.76909856429265,175.46583899,173.97072621,174.61208147000002,135382369
1434375000,174.69059001714635,174.69059001714635,172.40260015,173.1970343825,124384184
1434461400,173.94381219982318,174.52662275,173.17421773,173.87323689000002,85308227
1434547800,173.9085245449116,175.33142819,173.70522338,174.62203782749998,126708635
1434634200,174.26528118620578,177.00741477,174.26528118620578,175.9083782725,165867949
1434720600,175.08682972935287,176.37609679,175.08682972935287,175.95506190999998,130478689
1434979800,175.52094581967643,177.24317852,175.52094581967643,176.756487215,70696027
1435066200,176.1387165173382,177.11811866,176.1387165173382,176.79087868,68476797
1435152600,176.4647975986691,176.8930109,175.47566576,176.096796425,92307318
1435239000,176.28079701183455,176.28079701183455,174.89205306,175.49650907499998,97107361
1435325400,175.88865304341726,175.88865304341726,174.38347627,175.05254655,104174840
1435584600,175.47059979670863,175.47059979670863,171.19028104,172.71246803500003,202621332
1435671000,174.0915339158543,174.0915339158543,171.14859442,172.10530239000002,182925106
1435757400,173.09841815292717,173.44135862,172.21577194,172.96196247,135979873
1435843800,173.03019031146357,173.6414544,172.42420505,173.095359655,104373652
1436189400,173.0627749832318,173.12454029,171.35702753,172.096965065,117975369
1436275800,172.5798700241159,173.55808116,170.17312747,172.4283737075,173820249
1436362200,172.50412186580795,172.50412186580795,170.28985001,171.32461618000002,164020059
1436448600,171.914369022904,172.87442056,170.72339088,171.76138776,144113107
1436535000,171.837878391452,173.399672,171.837878391452,172.8410712675,129456890
1436794200,172.339474829476,175.00043827,172.339474829476,174.583572055,106069400
1436880600,173.461523442238,175.95923057,173.461523442238,175.3130879325,81709575
1436967000,174.387305687369,176.15098903,174.387305687369,175.6382435825,97914141
1437053400,175.0127746349345,177.00139612,175.0127746349345,176.7616980425,106683266
1437139800,175.88723633871723,177.20982923,175.88723633871723,176.98472147,89029973
1437399000,176.43597890435862,177.73508066,176.43597890435862,177.3202987725,70446821
1437485400,176.87813883842932,177.36823839,176.2426996,176.8158906525,77965048
1437571800,176.84701474546466,176.84701474546466,175.82583338,176.117639735,88667920
1437658200,176.48232724023234,176.48232724023234,174.87537841,175.73203848500003,90509128
1437744600,176.10718286261618,176.10718286261618,173.08285367,174.30635602,117754979
1438003800,175.2067694413081,175.2067694413081,171.96565221,172.48673498000002,132361082
1438090200,173.84675221065407,174.6669453,172.41586772,173.7123216575,123544845
1438176600,173.77953693407704,175.95089325,173.77953693407704,175.2088713825,105791255
1438263000,174.49420415828854,175.9342186,174.49420415828854,175.37978653,91304374
1438349400,174.93699534414426,176.29272355,174.93699534414426,175.81958039,103266857
1438608600,175.37828786707212,175.52568971,173.95827273,174.965004645,113965728
1438695000,175.17164625603607,175.29082728,174.08333259,174.6936872675,81820823
1438781400,174.93266676176802,176.17600101,174.85870376,175.4089671675,85786817
1438867800,175.170816964634,175.42981048,173.12454029,174.3970244225,116030803
1438954200,174.783920693567,174.783920693567,172.47422899,173.2746121275,117857956
1439213400,174.02926641053352,175.64241225,174.02926641053352,175.0421248925,80270676
1439299800,174.53569565151676,174.64193333,173.21625086,174.01454967,126081377
1439386200,174.27512266075837,174.36680162,171.21529301,173.109949975,172123672
1439472600,173.6925363178792,174.70863192,173.42468397,174.031224315,89383253
1439559000,173.8618803164396,174.67419877,173.63311708,174.170603535,72786528
1439818200,174.01624192571978,175.57571365,173.54974383,174.67736695,79072643
1439904600,174.34680443785987,175.65074957,174.34680443785987,175.21283161,71692678
1439991000,174.77981802392992,175.09214884,172.87442056,173.993706355,172945975
1440077400,174.38676218946495,174.38676218946495,169.99804366,171.2382206575,194327884
1440163800,172.81249142348247,172.81249142348247,164.67883072,166.9174856825,346588470
1440423000,169.86498855299124,169.86498855299124,152.07279629,157.4253585275,507244330
1440509400,163.64517354024562,163.64517354024562,155.8412669,159.465918665,369833070
1440595800,161.55554610262283,162.40274117,157.05017893,160.4309639575,339256990
1440682200,160.99325503006142,166.26292235,160.99325503006142,164.85391453,274143910
